ocid,title,agency,planned_budget_amount,award_start,award_end,tender_date,district,sector,source_ref
ocds-rw2stw-DDOB-11864/ DUDBC/Bhaktapur/Works/NCB/02/074-75,"Road improvement work-Nagarkot-8,Bhadrakali to Pagaritole to Sudal Tathali (2nd Phase)","DUDBC, DIVISION OFFICE BHAKTAPUR",,,,2018-06-15 10:00:00+05:45,Bhaktapur,Roads/Drainage,1588
ocds-rw2stw-DOA-11852/PDRF-68/074/075,"Reconstruction work of Chaughera Sattal, Chagunarayan Temple Premises,Bhaktapur",Department of Archaeology,,,,2018-06-15 06:00:00+05:45,Bhaktapur,Other/Uncategorized,1873
ocds-rw2stw-2DROB-11469/DROBKT/011-061/2074/075,"Road marking works in SRN (ARM, Lamidanda Palanchowk Bhagawati Road),Kavre.",204 Division Road Office Bhaktapur,,,,2018-05-31 20:00:00+05:45,Bhaktapur,Roads/Drainage,166
ocds-rw2stw-2DROB-11380/DROBKT/10-059/2074/075,"Road improvement work at Bayngdhunga- Lamichane Gaun - Kalamasi road (CH: 0+000 to 1+100), Kavre   (DROBKT/337355/4/2074/075/059)  ",204 Division Road Office Bhaktapur,,,,2018-05-28 23:45:00+05:45,Bhaktapur,Roads/Drainage,152
ocds-rw2stw-2DROB-11379/DROBKT/10-057/2074/075,"Construction works of earthwork, side drain, structural & pavement  at Nala Kashibhanjyan road (CH: 0+350 to 0+950), Kavre   (DROBKT/337355/4/2074/075/057)  ",204 Division Road Office Bhaktapur,,,,2018-05-28 23:45:00+05:45,Bhaktapur,Roads/Drainage,170
ocds-rw2stw-2DROB-11377/DROBKT/10-058/2074/075,"Construction works of earthwork, side drain, structural & pavement  at Nala Kashibhanjyan road (CH: 1+000 to 1+600), Kavre. (DROBKT/337355/4/2074/075/058)    ",204 Division Road Office Bhaktapur,,,,2018-05-28 23:45:00+05:45,Bhaktapur,Roads/Drainage,186
ocds-rw2stw-2DROB-11381/DROBKT/10-060/2074/075,"Road improvement work at Bayngdhunga- Lamichane Gaun - Kalamasi road (CH: 1+200 to 3+000), Kavre   (DROBKT/337355/4/2074/075/060)   ",204 Division Road Office Bhaktapur,,,,2018-05-28 23:45:00+05:45,Bhaktapur,Roads/Drainage,194
ocds-rw2stw-2DROB-11330/DROBKT/10-056/2074/075,DROBKT/337355/4/2074/075/056  ,204 Division Road Office Bhaktapur,,,,2018-05-28 00:00:00+05:45,Bhaktapur,Other/Uncategorized,173
ocds-rw2stw-2DROB-11331/DROBKT/10-055/2074/075,DROBKT/337355/4/2074/075/055  ,204 Division Road Office Bhaktapur,,,,2018-05-28 00:00:00+05:45,Bhaktapur,Other/Uncategorized,184
ocds-rw2stw-2DROB-10685/DROBKT/09-054/2074/075,Repair works of road damaged by sewer line construction in ARM -Srijananagar-katunje road.,204 Division Road Office Bhaktapur,,,,2018-05-14 20:00:00+05:45,Bhaktapur,Roads/Drainage,171
